,bench,bin,highway,lit,name,public_transport,route_ref,shelter,tactile_paving,latitude,longitude,id,wheelchair,bus,covered,network,fixme,passenger_information_display,check_date:shelter,operator,ref_name,departures_board,ref,bicycle_parking,description,lines,check_date:bench,designation,local_ref,source,note,description:de,bus_lines,network:wikidata,network:wikipedia,toilets:wheelchair,network:short,layer,level,construction:public_transport,destination,wheelchair:description,local_ref:note,fare_zone,lanes,lanes:backward,lanes:forward,lastcheck,name:HVV,check_date:tactile_paving,check_date:bin,direction,surface,public_transport:version,official_name,last_check,ref:vhh,shelter:description,check_date,waste_basket,beach,survey:date,route_ref:note,old_name,line,backrest,email,removed:ref_name,uic_ref,removed:operator,operator:note,ref:street,amenity,loc_name,building,alt_name,name:old,comment,route_master,name:note,net,source:route_ref,shelter:note,int_name,alt_name:5304,operator:short,type,route_ref:source,side,alt_name:note,name:description,carriage,name:de,trolleybus,share_taxi,bus_ref,name_old,railway,proposed,FIXME,service,disused,timetable,website,name:source,route_ref:description,junction,service_times,bus_routes,note_1,access,seasonal,start_date,shelter_type,on_demand,phone,url
1879,yes,yes,bus_stop,,Thomas-Mann-Straße,platform,,yes,no,53.6277805,10.1122700,354629295,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,yes,yes,bus_stop,,Buddenbrookweg,platform,,yes,yes,53.6266383,10.1166399,354629320,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,no,,bus_stop,,U S Ohlsdorf (Im Grünen Grunde),platform,392,yes,no,53.6209784,10.0310367,356224664,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,,,bus_stop,,Maienweg,platform,,yes,,53.6193101,10.0227637,356272928,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,yes,,bus_stop,,Suhrenkamp,platform,,yes,,53.6197925,10.0139029,356299386,yes,yes,,HVV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,yes,,bus_stop,yes,Röntgenstraße,platform,,yes,no,53.6231624,10.0118440,356299387,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,yes,yes,bus_stop,no,Preetzer Straße,platform,,yes,no,53.6329412,10.0163921,356299388,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1886,yes,yes,bus_stop,,Kurzer Kamp,platform,,yes,no,53.6364395,10.0332935,356299389,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1887,yes,,bus_stop,,Am Gnadenberg,platform,,yes,no,53.6378017,10.0350083,356299390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,,,bus_stop,,EKZ Hummelsbüttel,platform,,yes,,53.6426019,10.0486930,356299391,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,,,bus_stop,,EKZ Hummelsbüttel,platform,,yes,,53.6424486,10.0474351,356299392,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890,,,bus_stop,,Poppenbüttler Stieg,platform,,yes,,53.6447380,10.0518204,356299393,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,,,bus_stop,,Poppenbüttler Stieg,platform,,yes,,53.6448634,10.0517882,356299394,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892,,,bus_stop,,Am Hehsel,platform,,yes,,53.6469728,10.0557244,356299395,yes,yes,,HVV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1893,,yes,bus_stop,,Ruscheweyhstraße,platform,,yes,no,53.6491239,10.0602835,356299396,yes,yes,,HVV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,,,bus_stop,,Norbert-Schmid-Platz,platform,,no,,53.6533640,10.0625808,356299397,,yes,,HVV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
