,name,element_type,osmid,x,y,geometry,passengers,cluster
169,Rettmer (Mitte),node,3008184424,10.3697803,53.2139069,POINT (10.3697803 53.2139069),4,0.0
170,Kloster Lüne,node,3010809632,10.4233448,53.2609955,POINT (10.4233448 53.2609955),6,13.0
171,Hasenburger Berg,node,3046813394,10.3977854,53.2356105,POINT (10.3977854 53.2356105),5,2.0
172,Zentralfriedhof,node,3046813396,10.3988728,53.2370178,POINT (10.3988728 53.2370178),4,2.0
173,Am Eiskeller,node,3056385717,10.3850037,53.2362354,POINT (10.3850037 53.2362354),7,10.0
174,Auf dem Knieberg,node,3056385718,10.3884282,53.2356314,POINT (10.3884282 53.2356314),10,5.0
175,Heidkamp,node,3056385719,10.3931163,53.235028,POINT (10.3931163 53.235028),7,12.0
176,Meinekenhop,node,3056385720,10.3876742,53.2375288,POINT (10.3876742 53.2375288),4,5.0
177,Ringstraße,node,3056385721,10.38936,53.2358785,POINT (10.38936 53.2358785),5,5.0
178,Soltauer Straße (Kurzentrum),node,3109981532,10.4016865,53.241219,POINT (10.4016865 53.241219),4,2.0
179,Clamartpark,node,3136293741,10.4094815,53.2457263,POINT (10.4094815 53.2457263),9,11.0
180,Hasenburger Schule,node,3191900781,10.3973858,53.2331247,POINT (10.3973858 53.2331247),4,12.0
181,Rosenkamp Wendeplatz,node,3191932659,10.3809308,53.2237159,POINT (10.3809308 53.2237159),14,5.0
182,Övelgönner Weg,node,3191932961,10.3918692,53.2298285,POINT (10.3918692 53.2298285),3,2.0
183,Königsberger Straße,node,3227603542,10.4086651,53.2627692,POINT (10.4086651 53.2627692),7,12.0
184,Am Graben,node,3233157084,10.4180528,53.2668709,POINT (10.4180528 53.2668709),2,13.0
185,Böcklerstraße/TÜV,node,3233157086,10.4098875,53.2716586,POINT (10.4098875 53.2716586),2,13.0
186,Eisenbahnbrücke,node,3233157088,10.4189258,53.2623711,POINT (10.4189258 53.2623711),3,13.0
187,Goseburgstraße,node,3233157090,10.4181483,53.2646288,POINT (10.4181483 53.2646288),2,13.0
188,Ilmenaucenter,node,3233157092,10.4165325,53.2608424,POINT (10.4165325 53.2608424),3,13.0
189,Konrad-Zuse-Allee,node,3233157094,10.4169116,53.2561248,POINT (10.4169116 53.2561248),1,8.0
190,EDEKA,node,3241135968,10.4232857,53.2813577,POINT (10.4232857 53.2813577),3,15.0
191,Brockwinklerweg,node,3273986768,10.3863261,53.2570492,POINT (10.3863261 53.2570492),0,
192,An der Roten Bleiche (Universität),node,3338569132,10.4132004,53.2387357,POINT (10.4132004 53.2387357),3,11.0
193,Feldstraße (Universität),node,3338569134,10.4137315,53.2420275,POINT (10.4137315 53.2420275),4,11.0
194,GHS Kreideberg,node,3348003479,10.3982108,53.2619427,POINT (10.3982108 53.2619427),1,13.0
195,Herderschule,node,3348003480,10.3913545,53.2558772,POINT (10.3913545 53.2558772),5,9.0
196,Spechtsweg,node,3348003482,10.4164645,53.2323864,POINT (10.4164645 53.2323864),8,14.0
197,Kanalbrücke,node,3350545356,10.4842206,53.2356735,POINT (10.4842206 53.2356735),9,6.0
198,Veilchenring,node,3770564722,10.3723079,53.2104621,POINT (10.3723079 53.2104621),2,0.0
199,Tartuer Platz,node,6104223415,10.4329656,53.2528511,POINT (10.4329656 53.2528511),5,6.0
200,Konrad-Adenauer-Straße Ost,node,7061659845,10.4451221,53.2312612,POINT (10.4451221 53.2312612),7,7.0
